,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR,PROCESSING_TIME
1704,005112,P269,4813,OOFFICE,-13.0,-7.0,True,3.5585103034973145,0.9889539480209351,18.83908462524414,16.71341323852539,0.9618074297904968,3.3395046166011264,4.208273765784363,4.614976454723245,3.9587752260385365,0.01654052734375
1705,005115,P269,4813,OOFFICE,-5.0,-13.0,False,3.6692569255828857,0.9986432790756226,25.682872772216797,25.04904556274414,0.9823430180549622,3.3828272819519043,4.27375045116737,4.6277187006160005,4.021060886256147,0.01658034324645996
1706,005118,P308,839,OMEETING,-2.0,-16.0,True,2.318977117538452,0.6754037737846375,16.548900604248047,13.429952621459961,0.6041699647903442,2.952759402138846,3.153229225489841,4.28022208650936,2.903068534739415,0.016672849655151367
1707,005121,P308,839,OMEETING,-2.0,-1.0,False,3.638732671737671,0.8420762419700623,28.821836471557617,28.43331527709961,0.6379275918006897,2.841935532433646,2.903793299856344,3.267706762846817,2.3920619806052117,0.016582489013671875
1708,005124,P361,5393,DKITCHEN,-12.0,-16.0,True,2.963916540145874,0.9885896444320679,18.06125831604004,15.934785842895508,0.961273729801178,3.0511437484196255,3.69555144207137,4.508670038686001,3.443443933755858,0.01669931411743164
1709,005127,P361,5393,DKITCHEN,-15.0,-24.0,False,2.873260736465454,0.9941056370735168,22.51239585876465,20.87325668334961,0.980188250541687,2.8730283124106273,2.9972241145383536,4.38260669666113,2.84336011037121,0.016560077667236328
1710,005130,P361,61,TMETRO,-3.0,-13.0,True,2.591266632080078,0.9069807529449463,15.764951705932617,14.366875648498535,0.7920525074005127,3.339125258581979,3.1561856259676113,3.866205631165955,2.8245208783268683,0.01653003692626953
1711,005133,P361,61,TMETRO,-2.0,-11.0,False,3.2928857803344727,0.9434128999710083,23.247432708740234,22.523040771484375,0.8586632609367371,3.60406299999782,3.0523093495375306,4.021569889865176,2.784491348172339,0.01670098304748535
1712,005136,P288,2002,TBUS,-10.0,-27.0,True,2.6614279747009277,0.9751691222190857,17.099905014038086,15.436145782470703,0.9366012811660767,3.7115160397120883,3.407783653046294,4.3953165659392495,3.17319248775321,0.016790390014648438
1713,005139,P288,2002,TBUS,-8.0,-26.0,False,2.9669835567474365,0.9864873886108398,19.58784294128418,18.82854461669922,0.9632630348205566,3.652594838823591,3.846018182802259,4.628448515322238,3.630987917686597,0.016551733016967773
1714,005142,P269,4507,DLIVING,-4.0,-24.0,True,2.1400668621063232,0.9795432090759277,14.142613410949707,13.05859661102295,0.9308218955993652,2.951207024710519,4.458295981487895,4.675292172263916,4.249996543752414,0.016510009765625
1715,005145,P269,4507,DLIVING,-7.0,-22.0,False,2.2712607383728027,0.9883931279182434,16.443359375,15.72391128540039,0.9531717300415039,3.02069319997515,4.402817737909917,4.676134152976225,4.203308988635999,0.017168045043945312
